what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309883894874
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309883895796
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309883910077
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1309883921874
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309883923484
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309883924984
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1309883925843
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1309883926031
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1309883926327
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1309883926718
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1309883927499
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1309883947749
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1309883954030
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309883957405
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309883959155
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1309883965140
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309883966030
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309883986499
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1309884016952
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1309884020327
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1309884033717
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309884050639
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309884065592
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1309884067248
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309884069483
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309884092842
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1309884095842
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309884100764
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309884100873
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309884119201
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309884161014
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309884166795
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1309884171436
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309884188998
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309884195764
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1309884204998
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1309884243404
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309884252779
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309884260342
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309884260482
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309884270763
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309884277669
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309884286669
