what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1309881061094
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1309881061094
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1309881061094
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1309881061094
os,sysinfo,,,"win32",1309881061094
arch,sysinfo,,,"x86",1309881061094
ws,sysinfo,,,"win32",1309881061094
locale,sysinfo,,,"en_US",1309881061094
processors,sysinfo,,,"2",1309881061094
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1309881061094
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1309881061094
java.specification.name,sysinfo,,,"Java Platform API Specification",1309881061094
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1309881061094
java.specification.version,sysinfo,,,"1.6",1309881061094
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1309881061094
java.version,sysinfo,,,"1.6.0_20",1309881061094
java.vm.info,sysinfo,,,"mixed mode, sharing",1309881061094
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1309881061094
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1309881061094
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1309881061094
java.vm.specification.version,sysinfo,,,"1.0",1309881061094
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1309881061094
java.vm.version,sysinfo,,,"16.3-b01",1309881061094
started,bundle,org.eclipse.epp.usagedata.ui,1.1.1.R201001291118,"org.eclipse.epp.usagedata.ui",1309881062141
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309881062641
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309881082016
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1309881083250
started,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1309881084391
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1309881085766
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309881091484
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309881097875
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309881100281
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309881150391
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1309881150406
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309881152172
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309881152281
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309881152375
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309881152391
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1309881153875
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309881155250
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309881155312
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309881155312
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1309881155922
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1309881157047
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309881157047
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1309881172016
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1309881172187
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1309881172391
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309881184609
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309881184750
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1309881188844
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1309881191063
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309881193657
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1309881203579
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1309881208157
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1309881210345
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309881213251
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309881214314
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1309881214329
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1309881216548
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309881227923
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309881228033
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309881229455
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1309881246752
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1309881253081
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309881254268
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309881255284
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1309881262128
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309881264050
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309881277769
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1309881288723
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309881292379
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309881367569
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309881394445
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309881397289
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1309881402227
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309881402961
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309881423212
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309881430400
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309881457323
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309881471355
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309881473402
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309881495371
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309881496355
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309881509840
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309881523903
started,bundle,org.eclipse.mylyn.java.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.ui",1309881531075
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1309881545090
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309881547231
