what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1309886180754
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309886183098
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309886184504
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309886184504
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309886185754
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309886185754
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309886186786
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309886186801
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309886187832
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309886187832
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309886188582
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309886188582
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309886189473
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309886189489
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309886190207
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309886190207
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309886191082
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309886191098
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309886191739
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309886191739
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309886209645
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309886232145
